Run,Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
1,68898407dd424897d476390a,58f7ec594bf83e000199f2e9,APPROVED,Not Applicable,2025-07-30T02:37:16.513000Z,2025-07-30T02:41:39.316000Z,2025-07-31T04:34:17.974000Z,2025-07-30T02:41:39.715836Z,263,C18GSJ0Y,2059,English,29,Female,White,United States,United States,United States,English,Yes,Full-Time
1,6889867bc8346bfd586c854c,6612d5d5abf4df0d84f44b3e,APPROVED,Not Applicable,2025-07-30T02:42:09.689000Z,2025-07-30T02:49:16.647000Z,2025-07-30T02:49:17.210000Z,2025-07-30T02:49:17.084797Z,427,C18GSJ0Y,778,English,54,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
1,68898945ec8dc9e5ff8618bf,60ca846ffad77e5b1fee110a,APPROVED,Not Applicable,2025-07-30T02:54:03.375000Z,2025-07-30T03:03:35.240000Z,2025-07-30T03:03:38.605000Z,2025-07-30T03:03:35.723272Z,572,C18GSJ0Y,3793,English,27,Male,Black,United States,United States,Jamaica,English,DATA_EXPIRED,DATA_EXPIRED
1,68898c7de380e0fa864d774d,639b9ab341f4429b1b3c06a2,APPROVED,Not Applicable,2025-07-30T03:07:45.666000Z,2025-07-30T03:15:24.331000Z,2025-07-30T03:15:24.849000Z,2025-07-30T03:15:24.741215Z,459,C18GSJ0Y,6745,English,57,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
1,688993e253bb8e7dd533a2de,604d8f415e948938fd60b536,APPROVED,Not Applicable,2025-07-30T03:39:17.817000Z,2025-07-30T03:44:45.872000Z,2025-07-30T03:44:49.448000Z,2025-07-30T03:44:46.331889Z,329,C18GSJ0Y,5141,English,44,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
1,688998c66af5eea62a0f01f4,66ab2c0196e62d0107412f24,APPROVED,Not Applicable,2025-07-30T04:00:10.464000Z,2025-07-30T04:04:06.578000Z,2025-07-31T04:34:18.203000Z,2025-07-30T04:04:07.045236Z,237,C18GSJ0Y,215,English,20,Male,White,United States,United States,United States,English,Yes,DATA_EXPIRED
1,688999b6c10d744d179c6dae,616d9ef881036dfbfd63d2f4,APPROVED,Not Applicable,2025-07-30T04:04:10.924000Z,2025-07-30T04:16:34.421000Z,2025-07-30T04:16:35.059000Z,2025-07-30T04:16:34.888942Z,744,C18GSJ0Y,7399,English,36,Male,White,United States,United States,United States,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED
1,68899ca4244c18ef4cd6bf82,641e62a8191451d08e6c08f7,APPROVED,Not Applicable,2025-07-30T04:16:36.102000Z,2025-07-30T04:27:42.236000Z,2025-07-30T04:27:44.506000Z,2025-07-30T04:27:42.702721Z,667,C18GSJ0Y,2128,English,39,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
1,68899f3e8cabcc0b864cef7b,61292a3404d387db5b0b2a32,APPROVED,Not Applicable,2025-07-30T04:27:42.451000Z,2025-07-30T04:35:40.026000Z,2025-07-30T04:35:42.412000Z,2025-07-30T04:35:40.588799Z,478,C18GSJ0Y,3000,English,33,Male,White,United States,United States,United States,English,No,Full-Time
1,6889a11c8b9e88ebfadf37c0,616f727b03e888e0f8213eec,APPROVED,Not Applicable,2025-07-30T04:35:40.582000Z,2025-07-30T04:46:56.842000Z,2025-07-30T04:47:00.199000Z,2025-07-30T04:46:57.252482Z,677,C18GSJ0Y,3330,English,33,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
1,6889a3c82d61d99a5fe09253,66bf6ab25d76db9c95e01458,APPROVED,Not Applicable,2025-07-30T04:47:13.510000Z,2025-07-30T04:52:41.473000Z,2025-07-30T04:52:42.211000Z,2025-07-30T04:52:41.899315Z,328,C18GSJ0Y,1416,English,27,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
1,6889a51b92e480591e94847c,663a7af013938e6bbfb065d5,APPROVED,Not Applicable,2025-07-30T04:53:02.317000Z,2025-07-30T05:11:31.621000Z,2025-07-30T05:11:32.172000Z,2025-07-30T05:11:32.070045Z,1110,C18GSJ0Y,2942,English,35,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
